Wavelength_nm
407
416
424
431
439
446
453
461
468
475
483
490
497
505
512
520
527
535
543
551
559
567
575
584
592
601
610
619
628
637
646
655
665
674
684
694
704
714
724
734
744
754
765
775
786
796
807
817
828
839
849
860
871
881
892
903
913
924
970
977
979
989
999
1009
1019
1029
1038
1048
1058
1068
1078
1089
1099
1175
1186
1196
1207
1218
1229
1240
1251
1263
1273
1284
1295
1306
1317
1502
1513
1523
1534
1544
1555
1565
1576
1586
1596
1606
1617
1627
1637
1647
1657
1667
1677
1687
1697
1707
1717
1727
1736
1746
1756
1766
2036
2045
2078
2086
2095
2103
2111
2119
2127
2136
2143
2151
2160
2167
2175
2183
2191
2199
2207
2215
2222
2230
2238
2245
2253
2261
2268
2276
2283
2291
2299
2306
2313
2321
2328
2336
2343
2357
2365
2400
2429
